id,query,answer,choices,gold,label_type
headlines0,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Price or Not pertaining to gold? Your response should be Yes or No.
Text: dec. gold up $2.50 at $1,053.10/oz on globex
Answer:",Yes,"[Yes, No]",0,""
headlines1,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Direction Up pertaining to gold? Your response should be Yes or No.
Text: dec. gold up $2.50 at $1,053.10/oz on globex
Answer:",Yes,"[Yes, No]",0,""
headlines2,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Direction Constant pertaining to gold? Your response should be Yes or No.
Text: dec. gold up $2.50 at $1,053.10/oz on globex
Answer:",No,"[Yes, No]",1,""
headlines3,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Direction Down pertaining to gold? Your response should be Yes or No.
Text: dec. gold up $2.50 at $1,053.10/oz on globex
Answer:",No,"[Yes, No]",1,""
headlines4,"Look for indications that the price of gold is increasing. In the news headline, can you identify a PastPrice pertaining to gold? Your response should be Yes or No.
Text: dec. gold up $2.50 at $1,053.10/oz on globex
Answer:",Yes,"[Yes, No]",0,""
headlines5,"Look for indications that the price of gold is increasing. In the news headline, can you identify a FuturePrice pertaining to gold? Your response should be Yes or No.
Text: dec. gold up $2.50 at $1,053.10/oz on globex
Answer:",No,"[Yes, No]",1,""
headlines6,"Look for indications that the price of gold is increasing. In the news headline, can you identify a PastNews pertaining to gold? Your response should be Yes or No.
Text: dec. gold up $2.50 at $1,053.10/oz on globex
Answer:",No,"[Yes, No]",1,""
headlines7,"Look for indications that the price of gold is increasing. In the news headline, can you identify a FutureNews pertaining to gold? Your response should be Yes or No.
Text: dec. gold up $2.50 at $1,053.10/oz on globex
Answer:",No,"[Yes, No]",1,""
headlines8,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Asset Comparision pertaining to gold? Your response should be Yes or No.
Text: dec. gold up $2.50 at $1,053.10/oz on globex
Answer:",No,"[Yes, No]",1,""
headlines9,"Look for indications that the price of gold is increasing. In the news headline, can you identify a Price or Not pertaining to gold? Your response should be Yes or No.
Text: gold futures down $24.90 at $1,749.80/oz
Answer:",Yes,"[Yes, No]",0,""
