query,answer,label,text
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: This LOAN AND SECURITY AGREEMENT dated January 27 , 1999 , between SILICON VALLEY BANK ("" Bank ""), a California - chartered bank with its principal place of business at 3003 Tasman Drive , Santa Clara , California 95054 with a loan production office located at 40 William St ., Ste .
Answer:","SILICON VALLEY BANK, ORG
Bank, ORG
California, LOC
bank, ORG
3003 Tasman Drive, LOC
Santa Clara, LOC
California, LOC
40 William St, LOC","[O, O, O, O, O, O, O, O, O, O, O, O, B-ORG, I-ORG, I-ORG, O, B-ORG, O, O, B-LOC, O, O, B-ORG, O, O, O, O, O, O, O, B-LOC, I-LOC, I-LOC, O, B-LOC, I-LOC, O, B-LOC, O, O, O, O, O, O, O, O, B-LOC, I-LOC, I-LOC, O, O, O]","This LOAN AND SECURITY AGREEMENT dated January 27 , 1999 , between SILICON VALLEY BANK ("" Bank ""), a California - chartered bank with its principal place of business at 3003 Tasman Drive , Santa Clara , California 95054 with a loan production office located at 40 William St ., Ste ."
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: 350 , Wellesley , Massachusetts 02481 doing business as "" Silicon Valley East "" and AKAMAI TECHNOLOGIES , INC . ("" Borrower ""), whose address is 201 Broadway , 4th Floor , Cambridge , Massachusetts 02139 provides the terms on which Bank will lend to Borrower and Borrower will repay Bank .
Answer:","Wellesley, LOC
Massachusetts, LOC
Silicon Valley East, LOC
AKAMAI TECHNOLOGIES, ORG
Borrower, PER
201 Broadway, LOC
Cambridge, LOC
Massachusetts, LOC
Bank, ORG
Borrower, PER
Borrower, PER
Bank, ORG","[O, O, B-LOC, O, B-LOC, O, O, O, O, O, B-LOC, I-LOC, I-LOC, O, O, B-ORG, I-ORG, O, O, O, O, B-PER, O, O, O, O, B-LOC, I-LOC, O, O, O, O, B-LOC, O, B-LOC, O, O, O, O, O, O, B-ORG, O, O, O, B-PER, O, B-PER, O, O, B-ORG, O]","350 , Wellesley , Massachusetts 02481 doing business as "" Silicon Valley East "" and AKAMAI TECHNOLOGIES , INC . ("" Borrower ""), whose address is 201 Broadway , 4th Floor , Cambridge , Massachusetts 02139 provides the terms on which Bank will lend to Borrower and Borrower will repay Bank ."
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: This Agreement shall be construed to impart upon Bank a duty to act reasonably at all times .
Answer:","Bank, ORG","[O, O, O, O, O, O, O, O, B-ORG, O, O, O, O, O, O, O, O, O]",This Agreement shall be construed to impart upon Bank a duty to act reasonably at all times .
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: Borrower will pay Bank the unpaid principal amount of all Credit Extensions and interest on the unpaid principal amount of the Credit Extensions .
Answer:","Borrower, PER
Bank, ORG","[B-PER, O, O, B-ORG, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O]",Borrower will pay Bank the unpaid principal amount of all Credit Extensions and interest on the unpaid principal amount of the Credit Extensions .
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: Subject to the terms and conditions of this Agreement , Bank agrees to lend to Borrower , from time to time prior to the Commitment Termination Date , equipment advances ( each an "" Equipment Advance "" and collectively the "" Equipment Advances "").
Answer:","Bank, ORG
Borrower, PER","[O, O, O, O, O, O, O, O, O, O, B-ORG, O, O, O, O, B-PER, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O]","Subject to the terms and conditions of this Agreement , Bank agrees to lend to Borrower , from time to time prior to the Commitment Termination Date , equipment advances ( each an "" Equipment Advance "" and collectively the "" Equipment Advances "")."
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: The proceeds of the Equipment Advances will be used solely to reimburse Borrower for the purchase of Eligible Equipment .
Answer:","Borrower, PER","[O, O, O, O, O, O, O, O, O, O, O, O, B-PER, O, O, O, O, O, O, O]",The proceeds of the Equipment Advances will be used solely to reimburse Borrower for the purchase of Eligible Equipment .
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: Bank ' s obligation to lend hereunder shall terminate on the earlier of ( i ) the occurrence and continuance of an Event of Default , and ( ii ) the Commitment Termination Date .
Answer:","Bank, ORG","[B-ORG, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O]","Bank ' s obligation to lend hereunder shall terminate on the earlier of ( i ) the occurrence and continuance of an Event of Default , and ( ii ) the Commitment Termination Date ."
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: ( a ) To obtain an Equipment Advance , Borrower will deliver to Bank a completed supplement in substantially the form attached ("" Loan Supplement ""), together with invoices and such additional information as Bank may request at least five ( 5 ) Business Days before the proposed funding date ( the "" Funding Date "").
Answer:","Borrower, PER
Bank, ORG
Bank, ORG","[O, O, O, O, O, O, O, O, O, B-PER, O, O, O, B-ORG, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, B-ORG, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O]","( a ) To obtain an Equipment Advance , Borrower will deliver to Bank a completed supplement in substantially the form attached ("" Loan Supplement ""), together with invoices and such additional information as Bank may request at least five ( 5 ) Business Days before the proposed funding date ( the "" Funding Date "")."
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: On each Funding Date , Bank will specify in the Loan Supplement for each Equipment Advance , the Basic Rate , the Loan Factor , the Payment Dates , and a table of Stipulated Loan Values , together with a UCC Financing Statement covering the Equipment described on the Loan Supplement .
Answer:","Bank, ORG","[O, O, O, O, O, B-ORG, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O]","On each Funding Date , Bank will specify in the Loan Supplement for each Equipment Advance , the Basic Rate , the Loan Factor , the Payment Dates , and a table of Stipulated Loan Values , together with a UCC Financing Statement covering the Equipment described on the Loan Supplement ."
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: If Borrower satisfies the conditions of each Equipment Advance specified from time to time by Bank , Bank will disburse such Equipment Advance by internal transfer to Borrower ' s deposit account with Bank .
Answer:","Borrower, PER
Bank, ORG
Bank, ORG
Borrower, PER
Bank, ORG","[O, B-PER, O, O, O, O, O, O, O, O, O, O, O, O, O, B-ORG, O, B-ORG, O, O, O, O, O, O, O, O, O, B-PER, O, O, O, O, O, B-ORG, O]","If Borrower satisfies the conditions of each Equipment Advance specified from time to time by Bank , Bank will disburse such Equipment Advance by internal transfer to Borrower ' s deposit account with Bank ."
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: ( b ) Bank ' s obligation to lend the undisbursed portion of the Committed Equipment Line will terminate if , in Bank ' s sole discretion , there has been a material adverse change in the general affairs , management , results of operation , condition ( financial or otherwise ) or the prospects of Borrower , whether or not arising from transactions in the ordinary course of business , or there has been material adverse deviation by Borrower from the most recent business plan of Borrower presented to and accepted by Bank prior to the execution of this Agreement .
Answer:","Bank, ORG
Bank, ORG
Borrower, PER
Borrower, PER
Borrower, PER
Bank, ORG","[O, O, O, B-ORG, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, B-ORG, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, B-PER, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, B-PER, O, O, O, O, O, O, O, B-PER, O, O, O, O, O, B-ORG, O, O, O, O, O, O, O, O]","( b ) Bank ' s obligation to lend the undisbursed portion of the Committed Equipment Line will terminate if , in Bank ' s sole discretion , there has been a material adverse change in the general affairs , management , results of operation , condition ( financial or otherwise ) or the prospects of Borrower , whether or not arising from transactions in the ordinary course of business , or there has been material adverse deviation by Borrower from the most recent business plan of Borrower presented to and accepted by Bank prior to the execution of this Agreement ."
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: Borrower will make payments monthly in advance of principal and accrued interest for each Equipment Advance ( collectively , "" Scheduled Payments ""), on the first Business Day of the month following the Funding Date ( or commencing on the Funding Date if the Funding Date is the first Business Day of the month ) with respect to such Equipment Advance and continuing thereafter during the Repayment Period on the first Business Day of each calendar month ( each a "" Payment Date ""), in an amount equal to the Loan Factor multiplied by the Loan Amount for such Equipment Advance as of such Payment Date .
Answer:","Borrower, PER","[B-PER, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O]","Borrower will make payments monthly in advance of principal and accrued interest for each Equipment Advance ( collectively , "" Scheduled Payments ""), on the first Business Day of the month following the Funding Date ( or commencing on the Funding Date if the Funding Date is the first Business Day of the month ) with respect to such Equipment Advance and continuing thereafter during the Repayment Period on the first Business Day of each calendar month ( each a "" Payment Date ""), in an amount equal to the Loan Factor multiplied by the Loan Amount for such Equipment Advance as of such Payment Date ."
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: An Equipment Advance may be prepaid only upon payment of a prepayment premium specified by Bank .
Answer:","Bank, ORG","[O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, B-ORG, O]",An Equipment Advance may be prepaid only upon payment of a prepayment premium specified by Bank .
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: Borrower will pay interest on the unpaid principal amount of each Equipment Advance from the first Payment Date after the Funding Date of such Equipment Advance until the Equipment Advance has been paid in full , at the per annum rate of interest equal to the Basic Rate determined by Bank as of the Funding Date for each Equipment Advance in accordance with the definition of the Basic Rate .
Answer:","Borrower, PER
Bank, ORG","[B-PER, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, B-ORG, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O]","Borrower will pay interest on the unpaid principal amount of each Equipment Advance from the first Payment Date after the Funding Date of such Equipment Advance until the Equipment Advance has been paid in full , at the per annum rate of interest equal to the Basic Rate determined by Bank as of the Funding Date for each Equipment Advance in accordance with the definition of the Basic Rate ."
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: "" Basic Rate "" is , as of the Funding Date , the per annum rate of interest ( based on a year of 360 days ) equal to the sum of ( a ) the U . S . Treasury note yield to maturity for a term equal to the Treasury Note Maturity as quoted in The Wall Street Journal on the day the applicable Loan Terms Schedule is prepared , plus ( b ) the applicable Loan Margin for the type of Eligible Equipment being financed .
Answer:","The Wall Street Journal, ORG","[O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, B-ORG, I-ORG, I-ORG, I-ORG, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O]",""" Basic Rate "" is , as of the Funding Date , the per annum rate of interest ( based on a year of 360 days ) equal to the sum of ( a ) the U . S . Treasury note yield to maturity for a term equal to the Treasury Note Maturity as quoted in The Wall Street Journal on the day the applicable Loan Terms Schedule is prepared , plus ( b ) the applicable Loan Margin for the type of Eligible Equipment being financed ."
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: In addition to the Scheduled Payments , on the Funding Date for each Equipment Advance ( unless the Funding Date is the first Business Day of the month ) Borrower shall pay to Bank , on behalf of Bank , an amount ( the "" Interim Payment "") equal to the initial Equipment Advance multiplied by the product of ( i ) the quotient derived from dividing the initial Loan Factor with respect to such Equipment Advance multiplied by 30 , and ( ii ) the number of days from the Funding Date of the Equipment Advance Loan until the first Payment Date with respect to such Equipment Advance .
Answer:","Borrower, PER
Bank, ORG
Bank, ORG","[O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, B-PER, O, O, O, B-ORG, O, O, O, O, B-ORG, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O]","In addition to the Scheduled Payments , on the Funding Date for each Equipment Advance ( unless the Funding Date is the first Business Day of the month ) Borrower shall pay to Bank , on behalf of Bank , an amount ( the "" Interim Payment "") equal to the initial Equipment Advance multiplied by the product of ( i ) the quotient derived from dividing the initial Loan Factor with respect to such Equipment Advance multiplied by 30 , and ( ii ) the number of days from the Funding Date of the Equipment Advance Loan until the first Payment Date with respect to such Equipment Advance ."
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: On the Maturity Date with respect to such Equipment Advance , Borrower will pay , in addition to the unpaid principal and accrued interest and all other amounts due on such date with respect to such Equipment Advance , an amount equal to the Final Payment .
Answer:","Borrower, PER","[O, O, O, O, O, O, O, O, O, O, O, B-PER, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O]","On the Maturity Date with respect to such Equipment Advance , Borrower will pay , in addition to the unpaid principal and accrued interest and all other amounts due on such date with respect to such Equipment Advance , an amount equal to the Final Payment ."
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: "" Original Stated Cost "" is ( i ) the original cost of the New Equipment , the original cost to the Borrower of the item of New Equipment net of any and all freight , installation , tax or ( ii ) the fair market value assigned to such item of Used Equipment by mutual agreement of Borrower and Bank at the time of making of the Equipment Advance .
Answer:","Borrower, PER
Borrower, PER
Bank, ORG","[O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, B-PER, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, B-PER, O, B-ORG, O, O, O, O, O, O, O, O, O, O]",""" Original Stated Cost "" is ( i ) the original cost of the New Equipment , the original cost to the Borrower of the item of New Equipment net of any and all freight , installation , tax or ( ii ) the fair market value assigned to such item of Used Equipment by mutual agreement of Borrower and Bank at the time of making of the Equipment Advance ."
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: If any Financed Equipment is subject to an Event of Loss and Borrower is required to or elects to prepay the Equipment Advance with respect to such
Answer:","Borrower, PER","[O, O, O, O, O, O, O, O, O, O, O, O, B-PER, O, O, O, O, O, O, O, O, O, O, O, O, O, O]",If any Financed Equipment is subject to an Event of Loss and Borrower is required to or elects to prepay the Equipment Advance with respect to such
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: If the Equipment Advances are accelerated following the occurrence of an Event of Default or otherwise ( other than following an Event of Loss ), then Borrower will immediately pay to Bank ( i ) all unpaid Scheduled Payments with respect to each Equipment Advance due prior to the date of prepayment , ( ii ) the Stipulated Loss Value with respect to each Equipment Advance , and ( iii ) all other sums , if any , that shall have become due and payable with respect to any Equipment Advance .
Answer:","Borrower, PER
Bank, ORG","[O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, B-PER, O, O, O, O, B-ORG, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O]","If the Equipment Advances are accelerated following the occurrence of an Event of Default or otherwise ( other than following an Event of Loss ), then Borrower will immediately pay to Bank ( i ) all unpaid Scheduled Payments with respect to each Equipment Advance due prior to the date of prepayment , ( ii ) the Stipulated Loss Value with respect to each Equipment Advance , and ( iii ) all other sums , if any , that shall have become due and payable with respect to any Equipment Advance ."
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: ( g ) Borrower will repay the Equipment Advances on the terms provided in the Loan Supplement .
Answer:","Borrower, PER","[O, O, O, B-PER, O, O, O, O, O, O, O, O, O, O, O, O, O, O]",( g ) Borrower will repay the Equipment Advances on the terms provided in the Loan Supplement .
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: An Equipment Advance may be prepaid only upon payment of a prepayment premium specified from time to time by Bank .
Answer:","Bank, ORG","[O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, B-ORG, O]",An Equipment Advance may be prepaid only upon payment of a prepayment premium specified from time to time by Bank .
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: If any change in the law increases Bank ' s expenses or decreases its return from the Equipment Advances , Borrower will pay Bank upon request the amount of such increase or decrease .
Answer:","Bank, ORG
Borrower, PER
Bank, ORG","[O, O, O, O, O, O, O, B-ORG, O, O, O, O, O, O, O, O, O, O, O, O, B-PER, O, O, B-ORG, O, O, O, O, O, O, O, O, O, O]","If any change in the law increases Bank ' s expenses or decreases its return from the Equipment Advances , Borrower will pay Bank upon request the amount of such increase or decrease ."
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: ( h ) Bank may debit any of Borrower ' s deposit accounts including Account Number _____________ for principal and interest payments or any amounts Borrower owes Bank .
Answer:","Bank, ORG
Borrower, PER
Borrower, PER
Bank, ORG","[O, O, O, B-ORG, O, O, O, O, B-PER, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, B-PER, O, B-ORG, O]",( h ) Bank may debit any of Borrower ' s deposit accounts including Account Number _____________ for principal and interest payments or any amounts Borrower owes Bank .
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: Bank will notify Borrower when it debits Borrower ' s accounts .
Answer:","Bank, ORG
Borrower, PER
Borrower, PER","[B-ORG, O, O, B-PER, O, O, O, B-PER, O, O, O, O]",Bank will notify Borrower when it debits Borrower ' s accounts .
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: Payments received after 12 : 00 noon Eastern time are considered received at the opening of business on the next Business Day .
Answer:","Eastern, LOC","[O, O, O, O, O, O, O, B-LOC, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O]",Payments received after 12 : 00 noon Eastern time are considered received at the opening of business on the next Business Day .
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: Borrower will pay :
Answer:","Borrower, PER","[B-PER, O, O, O]",Borrower will pay :
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: ( a ) Bank Expenses .
Answer:","Bank, ORG","[O, O, O, B-ORG, O, O]",( a ) Bank Expenses .
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: All Bank Expenses ( including reasonable attorneys ' fees and expenses ) incurred through and after the date of this Agreement , are payable when due .
Answer:","Bank, ORG","[O, B-ORG, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O]","All Bank Expenses ( including reasonable attorneys ' fees and expenses ) incurred through and after the date of this Agreement , are payable when due ."
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: Bank ' s obligation to make the initial Credit Extension is subject to the condition precedent that it receive the agreements , documents and fees it requires .
Answer:","Bank, ORG","[B-ORG, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O]","Bank ' s obligation to make the initial Credit Extension is subject to the condition precedent that it receive the agreements , documents and fees it requires ."
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: Bank ' s obligations to make each Credit Extension , including the initial Credit Extension , is subject to the following :
Answer:","Bank, ORG","[B-ORG, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O]","Bank ' s obligations to make each Credit Extension , including the initial Credit Extension , is subject to the following :"
"In the sentences extracted from financial agreements in U.S. SEC filings, identify the named entities that represent a person ('PER'), an organization ('ORG'), or a location ('LOC'). The required answer format is: 'entity name, entity type'.
Text: Each Credit Extension is Borrower ' s representation and warranty on that date that the representations and warranties of Section 5 remain true .
Answer:","Borrower, PER","[O, O, O, O, B-PER, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O]",Each Credit Extension is Borrower ' s representation and warranty on that date that the representations and warranties of Section 5 remain true .
