id,query,answer,choices,gold,text
0,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 1.0, A2: 23.75, A3: 0.415, A4: 1.0, A5: 8.0, A6: 4.0, A7: 0.04, A8: 0.0, A9: 1.0, A10: 2.0, A11: 0.0, A12: 2.0, A13: 128.0, A14: 7.0. 
",bad,"[good, bad]",1,"The client has attributes: A1: 1.0, A2: 23.75, A3: 0.415, A4: 1.0, A5: 8.0, A6: 4.0, A7: 0.04, A8: 0.0, A9: 1.0, A10: 2.0, A11: 0.0, A12: 2.0, A13: 128.0, A14: 7.0."
1,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 0.0, A2: 58.42, A3: 21.0, A4: 2.0, A5: 3.0, A6: 5.0, A7: 10.0, A8: 1.0, A9: 1.0, A10: 13.0, A11: 0.0, A12: 2.0, A13: 0.0, A14: 6701.0. 
",good,"[good, bad]",0,"The client has attributes: A1: 0.0, A2: 58.42, A3: 21.0, A4: 2.0, A5: 3.0, A6: 5.0, A7: 10.0, A8: 1.0, A9: 1.0, A10: 13.0, A11: 0.0, A12: 2.0, A13: 0.0, A14: 6701.0."
2,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 1.0, A2: 32.75, A3: 1.5, A4: 2.0, A5: 13.0, A6: 8.0, A7: 5.5, A8: 1.0, A9: 1.0, A10: 3.0, A11: 1.0, A12: 2.0, A13: 0.0, A14: 1.0. 
",good,"[good, bad]",0,"The client has attributes: A1: 1.0, A2: 32.75, A3: 1.5, A4: 2.0, A5: 13.0, A6: 8.0, A7: 5.5, A8: 1.0, A9: 1.0, A10: 3.0, A11: 1.0, A12: 2.0, A13: 0.0, A14: 1.0."
3,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 1.0, A2: 40.92, A3: 0.5, A4: 1.0, A5: 7.0, A6: 4.0, A7: 0.5, A8: 0.0, A9: 0.0, A10: 0.0, A11: 1.0, A12: 2.0, A13: 130.0, A14: 1.0. 
",bad,"[good, bad]",1,"The client has attributes: A1: 1.0, A2: 40.92, A3: 0.5, A4: 1.0, A5: 7.0, A6: 4.0, A7: 0.5, A8: 0.0, A9: 0.0, A10: 0.0, A11: 1.0, A12: 2.0, A13: 130.0, A14: 1.0."
4,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 1.0, A2: 23.25, A3: 4.0, A4: 2.0, A5: 8.0, A6: 5.0, A7: 0.25, A8: 1.0, A9: 0.0, A10: 0.0, A11: 1.0, A12: 2.0, A13: 160.0, A14: 1.0. 
",good,"[good, bad]",0,"The client has attributes: A1: 1.0, A2: 23.25, A3: 4.0, A4: 2.0, A5: 8.0, A6: 5.0, A7: 0.25, A8: 1.0, A9: 0.0, A10: 0.0, A11: 1.0, A12: 2.0, A13: 160.0, A14: 1.0."
5,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 0.0, A2: 28.75, A3: 3.75, A4: 2.0, A5: 8.0, A6: 4.0, A7: 1.085, A8: 1.0, A9: 1.0, A10: 1.0, A11: 1.0, A12: 2.0, A13: 371.0, A14: 1.0. 
",good,"[good, bad]",0,"The client has attributes: A1: 0.0, A2: 28.75, A3: 3.75, A4: 2.0, A5: 8.0, A6: 4.0, A7: 1.085, A8: 1.0, A9: 1.0, A10: 1.0, A11: 1.0, A12: 2.0, A13: 371.0, A14: 1.0."
6,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 0.0, A2: 27.42, A3: 14.5, A4: 2.0, A5: 14.0, A6: 8.0, A7: 3.085, A8: 1.0, A9: 1.0, A10: 1.0, A11: 0.0, A12: 2.0, A13: 120.0, A14: 12.0. 
",good,"[good, bad]",0,"The client has attributes: A1: 0.0, A2: 27.42, A3: 14.5, A4: 2.0, A5: 14.0, A6: 8.0, A7: 3.085, A8: 1.0, A9: 1.0, A10: 1.0, A11: 0.0, A12: 2.0, A13: 120.0, A14: 12.0."
7,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 1.0, A2: 31.67, A3: 0.83, A4: 2.0, A5: 14.0, A6: 4.0, A7: 1.335, A8: 1.0, A9: 1.0, A10: 8.0, A11: 1.0, A12: 2.0, A13: 303.0, A14: 3291.0. 
",good,"[good, bad]",0,"The client has attributes: A1: 1.0, A2: 31.67, A3: 0.83, A4: 2.0, A5: 14.0, A6: 4.0, A7: 1.335, A8: 1.0, A9: 1.0, A10: 8.0, A11: 1.0, A12: 2.0, A13: 303.0, A14: 3291.0."
8,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 1.0, A2: 20.25, A3: 9.96, A4: 2.0, A5: 10.0, A6: 2.0, A7: 0.0, A8: 1.0, A9: 0.0, A10: 0.0, A11: 0.0, A12: 2.0, A13: 0.0, A14: 1.0. 
",good,"[good, bad]",0,"The client has attributes: A1: 1.0, A2: 20.25, A3: 9.96, A4: 2.0, A5: 10.0, A6: 2.0, A7: 0.0, A8: 1.0, A9: 0.0, A10: 0.0, A11: 0.0, A12: 2.0, A13: 0.0, A14: 1.0."
9,"Assess the creditworthiness of a customer using the following table attributes for financial status. Respond with either 'good' or 'bad'. And all the table attribute names including 8 categorical attributes and 6 numerical attributes and values have been changed to meaningless symbols to protect confidentiality of the data. For instance, 'The client has attributes: A1: 0, A2: 21.67, A3: 11.5, A4: 1, A5: 5, A6: 3, A7: 0, A8: 1, A9: 1, A10: 11, A11: 1, A12: 2, A13: 0, A14: 1.', should be classified as 'good'. 
 Text: The client has attributes: A1: 0.0, A2: 71.58, A3: 0.0, A4: 2.0, A5: 8.0, A6: 4.0, A7: 0.0, A8: 0.0, A9: 0.0, A10: 0.0, A11: 0.0, A12: 3.0, A13: 184.0, A14: 1.0. 
",good,"[good, bad]",0,"The client has attributes: A1: 0.0, A2: 71.58, A3: 0.0, A4: 2.0, A5: 8.0, A6: 4.0, A7: 0.0, A8: 0.0, A9: 0.0, A10: 0.0, A11: 0.0, A12: 3.0, A13: 184.0, A14: 1.0."
